member_id,name,birth_date,birth_place,mbti,height,hobby,special_skill,week_2_rank,week_3_rank,week_5_rank,image_url,profile_url
71,佐野 じゅえり,2003/07/10,東京,ENTP,170,映画鑑賞、ショッピング,バイオリン、ファッションコーディネート,92,77,92,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/051_sanojueri.jpg,https://produce101.jp/profile/detail/?id=051_sanojueri&lang=ja
72,柴垣 有佐,2006/05/23,愛知,ENFP,161,水泳、韓国語や英語の勉強,スポーツ,96,86,96,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/052_shibagakiarisa.jpg,https://produce101.jp/profile/detail/?id=052_shibagakiarisa&lang=ja
73,渋谷 芽衣,2006/05/12,兵庫,ENTP,163,マクドナルド新作レビュー,口を震わせて歌を歌えること,71,74,75,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/053_shibuyamei.jpg,https://produce101.jp/profile/detail/?id=053_shibuyamei&lang=ja
74,城丸 真歩,2004/11/27,熊本,ESFP,158,食べること、写真を撮ること、カラオケ,バスケ、運動、どこでも寝られること,60,63,68,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/056_shiromarumaho.jpg,https://produce101.jp/profile/detail/?id=056_shiromarumaho&lang=ja
75,新澤 実華,2004/09/10,新潟,ISTP,164,スキンケア、音楽、お菓子,柔軟,86,95,85,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/057_shinzawamika.jpg,https://produce101.jp/profile/detail/?id=057_shinzawamika&lang=ja
76,菅井 夏帆,2003/06/03,埼玉,INFP,166,ギター、絵を描くこと,クラシックバレエ、書道,87,91,88,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/058_sugainatsuho.jpg,https://produce101.jp/profile/detail/?id=058_sugainatsuho&lang=ja
77,鈴木 玲名,2006/05/11,東京,ESFP,156,ダンス、人形と一緒に寝ること、チッケムを見ること,いちご早食い、二倍速ダンス,40,45,57,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/059_suzukirena.jpg,https://produce101.jp/profile/detail/?id=059_suzukirena&lang=ja
78,関口 理香子,2007/12/28,神奈川,ENFP,164,ピアノ、ドラム、ダンス、曲を聴くこと、おいしいものを食べること,体の柔らかさ、K-POP BOYS DANCE,83,96,83,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/062_sekiguchirikako.jpg,https://produce101.jp/profile/detail/?id=062_sekiguchirikako&lang=ja
79,田中 花,2008/01/05,大阪,ESFP,160,ヘアメイク,ダンス、ヘアメイク,68,71,70,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/069_tanakahana.jpg,https://produce101.jp/profile/detail/?id=069_tanakahana&lang=ja
80,田邊 果凜,2003/01/23,広島,ENFJ,160,歌うこと、映画鑑賞,身近な人のものまね,62,65,66,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/071_tanabekarin.jpg,https://produce101.jp/profile/detail/?id=071_tanabekarin&lang=ja
81,谷 聖彩,2006/12/28,埼玉,ISTJ,161,読書、芸術鑑賞、お菓子を食べること、みおなぎちゃんを見て癒されること,目を一重にすること、指の第一関節を曲げること,85,83,94,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/072_taniseia.jpg,https://produce101.jp/profile/detail/?id=072_taniseia&lang=ja
82,田端 那菜,2006/01/01,埼玉,ENFP,162,音楽を聴くこと、写真を撮ること、かわいいねこちゃんを探すこと,ダンス、ねこの鳴き真似、利きメロンソーダ,65,62,64,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/073_tabatanana.jpg,https://produce101.jp/profile/detail/?id=073_tabatanana&lang=ja
83,田淵 美優,2004/03/09,岡山,INTP,163,食べること、カラオケ,ダンス、柔軟性、踊る時の表情管理,91,82,86,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/074_tabuchimiu.jpg,https://produce101.jp/profile/detail/?id=074_tabuchimiu&lang=ja
84,中村 葵,2006/03/07,長野,INFP,157,映画鑑賞、料理、編み物,料理、K-POPダンス,81,92,76,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/076_nakamuraaoi.jpg,https://produce101.jp/profile/detail/?id=076_nakamuraaoi&lang=ja
85,中村 璃彩,2005/08/11,大阪,ESFP,160,1人カラオケ、猫と遊ぶこと,クラシックバレエ,93,89,89,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/077_nakamurariro.jpg,https://produce101.jp/profile/detail/?id=077_nakamurariro&lang=ja
86,中山 穗乃楓,2002/09/28,愛知,ENFP,166,映画・舞台・音楽鑑賞、ドラム、コスメ集め、ファッション,クレヨンしんちゃんモノマネ,84,88,78,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/080_nakayamahonoka.jpg,https://produce101.jp/profile/detail/?id=080_nakayamahonoka&lang=ja
87,濵嵜 愛子,2003/10/18,福岡,INFP,160,子どもと遊ぶこと、クラシックバレエ、コンテンポラリーダンス,朗読、読み聞かせ、どこでも寝られること,57,56,62,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/082_hamasakiaiko.jpg,https://produce101.jp/profile/detail/?id=082_hamasakiaiko&lang=ja
